"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1722","台肥","市","04/03","","63.5","-0.4","-0.63","1,579","100","63.9","63.8","63.9","63.1","1.25","15.9","1.14","    ","    ","    ","    ","    "
="1737","臺鹽","市","04/03","","33.85","+0.1","+0.3","156","5.29","33.75","33.8","34","33.8","0.59","22.6","1.04","    ","    ","    ","    ","    "
="2002","中鋼","市","04/03","","24.65","+0.35","+1.44","54,395","1,338","24.3","24.6","25","24.35","2.67","224","1.22","    ","    ","    ","    ","    "
="2208","台船","市","04/03","","18.85","+0.15","+0.8","2,837","53.1","18.7","18.8","18.9","18.5","2.14","","2.78","    ","    ","    ","    ","    "
="2412","中華電","市","04/03","","125","-1.5","-1.19","11,573","1,454","126.5","126.5","126.5","125","1.19","26.3","2.54","    ","    ","    ","    ","    "
="2609","陽明","市","04/03","","43.8","-0.65","-1.46","16,555","727","44.45","44.2","44.3","43.8","1.12","32","0.55","    ","    ","    ","    ","    "
="2617","台航","市","04/03","","34.5","+0.05","+0.15","583","20.1","34.45","34.4","34.7","34.35","1.02","8.67","0.9","    ","    ","    ","    ","    "
="2633","台灣高鐵","市","04/03","","29.95","-0.2","-0.66","2,627","78.7","30.15","30.1","30.1","29.9","0.66","21.5","2.36","    ","    ","    ","    ","    "
="2634","漢翔","市","04/03","","53.7","-0.6","-1.1","10,320","556","54.3","54.6","54.7","53.5","2.21","22.8","2.96","    ","    ","    ","    ","    "
="2801","彰銀","市","04/03","","18","-0.2","-1.1","12,827","232","18.2","18.2","18.2","18","1.1","15","1.04","    ","    ","    ","    ","    "
="2836","高雄銀","市","04/03","","11.8","0","0","2,386","28.1","11.8","11.75","11.8","11.75","0.42","16.9","0.81","    ","    ","    ","    ","    "
="2880","華南金","市","04/03","","22.85","-0.35","-1.51","12,721","291","23.2","23.1","23.1","22.85","1.08","14.5","1.5","    ","    ","    ","    ","    "
="2886","兆豐金","市","04/03","","39.75","-0.55","-1.36","20,697","826","40.3","40.2","40.25","39.75","1.24","16.8","1.67","    ","    ","    ","    ","    "
="2901","欣欣","市","04/03","","26.6","+0.1","+0.38","15","0.4","26.5","26.5","26.75","26.4","1.32","64.9","2.21","    ","    ","    ","    ","    "
="5880","合庫金","市","04/03","","26","-0.3","-1.14","13,928","363","26.3","26.3","26.3","26","1.14","22.2","1.59","    ","    ","    ","    ","    "
="6183","關貿","市","04/03","","74.8","0","0","28","2.08","74.8","74.5","74.9","74.5","0.53","23.4","4.33","    ","    ","    ","    ","    "
="8926","台汽電","市","04/03","","47.3","-0.7","-1.46","2,930","139","48","47.9","47.9","47.15","1.56","26","2.24","    ","    ","    ","    ","    "
="9918","欣天然","市","04/03","","40.95","+0.15","+0.37","10","0.42","40.8","40.9","40.95","40.9","0.12","20.5","2.3","    ","    ","    ","    ","    "
="9931","欣高","市","04/03","","37.7","+0.05","+0.13","10","0.4","37.65","37.65","38.25","37.65","1.59","26.2","1.72","    ","    ","    ","    ","    "
