商品代碼,商品名稱,商品數量,商品權重
2330,台積電,198812232,51.29
2317,鴻海,90611704,4.77
2454,聯發科,12310929,4.72
2382,廣達,22007178,2.14
2308,台達電,17869194,1.96
2303,聯電,97014553,1.66
2891,中信金,150735804,1.57
2881,富邦金,64037371,1.45
3711,日月光投控,28258206,1.44
2412,中華電,31459359,1.3
2886,兆豐金,94971829,1.25
2882,國泰金,76134841,1.21
2884,玉山金,123017318,1.09
3231,緯創,23606633,1.01
2885,元大金,100555288,1
1216,統一,39652976,0.99
3034,聯詠,4734078,0.93
2002,中鋼,102006190,0.83
2357,華碩,5834562,0.82
1303,南亞,42947269,0.81
2892,第一金,88793064,0.8
5880,合庫金,87652402,0.75
2379,瑞昱,3934626,0.74
1301,台塑,30854917,0.71
3008,大立光,844340,0.7
3037,欣興,10750465,0.68
5871,中租-KY,11640993,0.68
2345,智邦,4400002,0.67
2327,國巨,3232501,0.66
2890,永豐金,95260373,0.66
3661,世芯-KY,591335,0.66
2880,華南金,84029067,0.64
2301,光寶科,17674662,0.61
2883,開發金,130297055,0.59
1101,台泥,54713185,0.58
2887,台新金,97966301,0.58
6669,緯穎,717611,0.58
2207,和泰車,2692110,0.57
4938,和碩,16909743,0.54
1326,台化,28317602,0.52
3045,台灣大,15099655,0.51
2395,研華,3775227,0.49
5876,上海商銀,30923699,0.47
2603,長榮,8320102,0.45
1590,亞德客-KY,1123675,0.42
2912,統一超,4642917,0.41
4904,遠傳,14622311,0.39
2801,彰銀,56184616,0.33
6505,台塑化,11290451,0.27
2408,南亞科,9576155,0.22
