"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1215","卜蜂","市","04/03","","112","-2","-1.75","412","46.5","114","114","114","112","1.75","14.5","3.38","    ","    ","    ","    ","    "
="1231","聯華食","市","04/03","","97.5","-0.9","-0.91","176","17.2","98.4","98.4","98.4","97","1.42","24.8","4.17","    ","    ","    ","    ","    "
="1232","大統益","市","04/03","","146","-0.5","-0.34","42","6.14","146.5","146.5","146.5","146","0.34","19.4","4.33","    ","    ","    ","    ","    "
="1342","八貫","市","04/03","","138","-0.5","-0.36","527","73.1","138.5","138.5","140","137","2.17","18.4","4.39","    ","    ","    ","    ","    "
="1418","東華","市","04/03","","33.4","+0.2","+0.6","36","1.18","33.2","32.75","33.5","32.7","2.41","45.1","1.43","    ","    ","    ","    ","    "
="1436","華友聯","市","04/03","","108.5","-3.5","-3.12","352","38","112","109","109","106","2.68","11.2","2.83","    ","    ","    ","    ","    "
="1440","南紡","市","04/03","","15.5","-0.1","-0.64","877","13.6","15.6","15.6","15.7","15.4","1.92","12.2","0.87","    ","    ","    ","    ","    "
="1442","名軒","市","04/03","","44.8","+0.15","+0.34","927","41.3","44.65","44.65","44.85","44.1","1.68","9.51","2.28","    ","    ","    ","    ","    "
="1445","大宇","市","04/03","","21.85","+0.1","+0.46","796","17.4","21.75","21.9","22.2","21.75","2.07","2.83","1.06","    ","    ","    ","    ","    "
="1446","宏和","市","04/03","","33.7","-0.15","-0.44","109","3.68","33.85","33.7","33.8","33.5","0.89","42.1","3.05","    ","    ","    ","    ","    "
="1457","宜進","市","04/03","","20.1","-0.15","-0.74","459","9.23","20.25","20.25","20.25","20","1.23","7.88","0.81","    ","    ","    ","    ","    "
="1476","儒鴻","市","04/03","","546","-3","-0.55","472","258","549","551","551","544","1.28","28.9","5.84","    ","    ","    ","    ","    "
="1477","聚陽","市","04/03","","374.5","-4","-1.06","1,285","483","378.5","378.5","380","374.5","1.45","22.7","5.73","    ","    ","    ","    ","    "
="1513","中興電","市","04/03","","178.5","0","0","8,835","1,574","178.5","177.5","179.5","176","1.96","54.9","5.6","    ","    ","    ","    ","    "
="1514","亞力","市","04/03","","106","-2.5","-2.3","4,964","529","108.5","107.5","108","106","1.84","34.4","5.58","    ","    ","    ","    ","    "
="1519","華城","市","04/03","","816","+24","+3.03","1,008","809","792","792","816","776","5.05","82.7","35.4","    ","    ","    ","    ","    "
="1615","大山","市","04/03","","57.3","+0.2","+0.35","275","15.8","57.1","56.8","57.9","56.8","1.93","17.9","3.18","    ","    ","    ","    ","    "
="1616","億泰","市","04/03","","20.6","-0.9","-4.19","1,815","37.9","21.5","21.2","21.4","20.6","3.72","17.3","2.08","    ","    ","    ","    ","    "
="1707","葡萄王","市","04/03","","160.5","0","0","455","72.8","160.5","160.5","161","158.5","1.56","16.4","2.38","    ","    ","    ","    ","    "
="1736","喬山","市","04/03","","70.5","+0.3","+0.43","373","26","70.2","69.6","70.7","69","2.42","30.1","2.21","    ","    ","    ","    ","    "
="1808","潤隆","市","04/03","","114.5","-5","-4.18","4,652","540","119.5","120","120","114.5","4.6","6.7","3.82","    ","    ","    ","    ","    "
="2020","美亞","市","04/03","","38.75","-0.4","-1.02","2,141","83.6","39.15","39.2","39.85","38.65","3.07","8.07","2.12","    ","    ","    ","    ","    "
="2206","三陽工業","市","04/03","","74.6","-0.1","-0.13","2,020","150","74.7","74.7","75","74.1","1.2","9.38","2.64","    ","    ","    ","    ","    "
="2207","和泰車","市","04/03","","638","-9","-1.39","286","183","647","642","645","638","1.08","15.5","5.37","    ","    ","    ","    ","    "
="2316","楠梓電","市","04/03","","44.55","+0.75","+1.71","4,141","185","43.8","43.75","45.15","43.5","3.77","9.66","0.91","    ","    ","    ","    ","    "
="2329","華泰","市","04/03","","65.2","-0.3","-0.46","6,991","456","65.5","65","66.2","64.2","3.05","24.5","4.25","    ","    ","    ","    ","    "
="2330","台積電","市","04/03","","780","-10","-1.27","32,910","25,719","790","783","785","778","0.89","24.1","5.85","    ","    ","    ","    ","    "
="2345","智邦","市","04/03","","461","+5","+1.1","2,226","1,017","456","454.5","463.5","449","3.18","28.8","10.2","    ","    ","    ","    ","    "
="2348","海悅","市","04/03","","140","+4","+2.94","879","123","136","137.5","141.5","135","4.78","10.1","2.91","    ","    ","    ","    ","    "
="2368","金像電","市","04/03","","241","+7","+2.99","7,064","1,683","234","234","241","233","3.42","33.2","6.97","    ","    ","    ","    ","    "
="2379","瑞昱","市","04/03","","571","+3","+0.53","3,261","1,859","568","573","577","564","2.29","32","6.93","    ","    ","    ","    ","    "
="2382","廣達","市","04/03","","293.5","-4.5","-1.51","54,178","15,865","298","294.5","295.5","289.5","2.01","28.5","6.08","    ","    ","    ","    ","    "
="2383","台光電","市","04/03","","410.5","+10","+2.5","7,370","3,041","400.5","402","419.5","400.5","4.74","25.1","5.25","    ","    ","    ","    ","    "
="2385","群光","市","04/03","","218.5","-1.5","-0.68","4,876","1,070","220","215.5","222.5","215.5","3.18","21.1","4.05","    ","    ","    ","    ","    "
="2404","漢唐","市","04/03","","398","-8.5","-2.09","2,500","999","406.5","401","403.5","395","2.09","16","6.16","    ","    ","    ","    ","    "
="2423","固緯","市","04/03","","41.55","-0.45","-1.07","186","7.74","42","41.6","42","41.45","1.31","14.1","2.2","    ","    ","    ","    ","    "
="2454","聯發科","市","04/03","","1160","-5","-0.43","4,205","4,892","1165","1150","1175","1140","3","23.9","5.01","    ","    ","    ","    ","    "
="2455","全新","市","04/03","","173.5","+1","+0.58","890","153","172.5","171.5","173.5","169.5","2.32","71.4","10.5","    ","    ","    ","    ","    "
="2458","義隆","市","04/03","","156.5","+0.5","+0.32","1,512","236","156","156","156.5","154.5","1.28","20.8","5.05","    ","    ","    ","    ","    "
="2466","冠西電","市","04/03","","37.15","+0.1","+0.27","12","0.45","37.05","37","37.65","36.55","2.97","206","3.38","    ","    ","    ","    ","    "
="2480","敦陽科","市","04/03","","129","-1","-0.77","140","18.1","130","129.5","129.5","129","0.38","17.5","4.2","    ","    ","    ","    ","    "
="2520","冠德","市","04/03","","41.85","-0.8","-1.88","3,394","143","42.65","42.5","42.5","41.65","1.99","9.47","1.14","    ","    ","    ","    ","    "
="2530","華建","市","04/03","","47.4","-0.05","-0.11","1,963","93","47.45","47.65","48.05","46.35","3.58","77.7","3.81","    ","    ","    ","    ","    "
="2539","櫻花建","市","04/03","","72.2","0","0","442","31.9","72.2","72.2","72.6","71.8","1.11","32.2","5.25","    ","    ","    ","    ","    "
="2540","愛山林","市","04/03","","98.1","-2.4","-2.39","1,423","141","100.5","99.3","102","97.8","4.18","25.1","4.29","    ","    ","    ","    ","    "
="2543","皇昌","市","04/03","","41.15","-0.85","-2.02","2,577","106","42","42","42","40","4.76","19.1","3.22","    ","    ","    ","    ","    "
="2545","皇翔","市","04/03","","45.1","-0.5","-1.1","370","16.8","45.6","46.2","46.2","45","2.63","19.4","1.29","    ","    ","    ","    ","    "
="2546","根基","市","04/03","","89","+0.1","+0.11","65","5.77","88.9","88.1","89","87.8","1.35","10.9","2.24","    ","    ","    ","    ","    "
="2548","華固","市","04/03","","126","-1","-0.79","863","109","127","127","127","124","2.36","9.73","1.68","    ","    ","    ","    ","    "
="2597","潤弘","市","04/03","","156","-2","-1.27","310","48.6","158","157","159","156","1.9","15.2","4.46","    ","    ","    ","    ","    "
="2611","志信","市","04/03","","23.6","-0.1","-0.42","1,562","37","23.7","23.6","23.85","23.55","1.27","9.52","1.49","    ","    ","    ","    ","    "
="2707","晶華","市","04/03","","223.5","-3","-1.32","150","33.7","226.5","226.5","226.5","223","1.55","20.1","6.21","    ","    ","    ","    ","    "
="2727","王品","市","04/03","","242","-1.5","-0.62","327","79.2","243.5","242.5","243","241.5","0.62","14.4","4.53","    ","    ","    ","    ","    "
="2731","雄獅","市","04/03","","137","0","0","962","131","137","137","138","135","2.19","9.01","3.42","    ","    ","    ","    ","    "
="2739","寒舍","市","04/03","","48.8","-0.55","-1.11","245","12","49.35","49.15","49.15","48.6","1.11","10.8","4.18","    ","    ","    ","    ","    "
="2912","統一超","市","04/03","","269.5","-2","-0.74","1,074","290","271.5","271","271.5","269.5","0.74","26.4","7.4","    ","    ","    ","    ","    "
="3014","聯陽","市","04/03","","168","-1","-0.59","1,050","176","169","168","169.5","166.5","1.78","17","4.21","    ","    ","    ","    ","    "
="3017","奇鋐","市","04/03","","546","+13","+2.44","16,799","9,229","533","524","565","523","7.88","38.7","9.5","    ","    ","    ","    ","    "
="3025","星通","市","04/03","","70.2","-1.7","-2.36","1,595","113","71.9","71.4","71.4","70.2","1.67","23.4","4.72","    ","    ","    ","    ","    "
="3034","聯詠","市","04/03","","596","+2","+0.34","1,834","1,088","594","588","597","586","1.85","15.6","5.4","    ","    ","    ","    ","    "
="3045","台灣大","市","04/03","","103","-1","-0.96","5,994","620","104","103","104","102.5","1.44","23.8","3.67","    ","    ","    ","    ","    "
="3406","玉晶光","市","04/03","","474","-10.5","-2.17","2,304","1,107","484.5","483","494.5","472","4.64","17.4","2.53","    ","    ","    ","    ","    "
="3443","創意","市","04/03","","1385","+10","+0.73","2,443","3,386","1375","1380","1410","1365","3.27","52.9","19.2","    ","    ","    ","    ","    "
="3661","世芯-KY","市","04/03","","3385","-15","-0.44","1,094","3,699","3400","3340","3415","3330","2.5","74.4","14","    ","    ","    ","    ","    "
="4137","麗豐-KY","市","04/03","","202.5","-1","-0.49","62","12.5","203.5","203.5","203.5","202","0.74","15.5","3.13","    ","    ","    ","    ","    "
="4588","玖鼎電力","市","04/03","","95.5","-0.1","-0.1","366","35","95.6","96","97","94.6","2.51","23.7","5.88","    ","    ","    ","    ","    "
="4763","材料-KY","市","04/03","","965","+14","+1.47","3,157","3,044","951","949","994","936","6.1","15.4","8.13","    ","    ","    ","    ","    "
="4770","上品","市","04/03","","421","-2","-0.47","285","120","423","422","423.5","417.5","1.42","19.8","4.51","    ","    ","    ","    ","    "
="4771","望隼","市","04/03","","352.5","-7","-1.95","473","166","359.5","355","359.5","347.5","3.34","32.7","10.3","    ","    ","    ","    ","    "
="4967","十銓","市","04/03","","83.8","+1.1","+1.33","2,343","195","82.7","83.1","83.8","82.3","1.81","24.8","2.65","    ","    ","    ","    ","    "
="5222","全訊","市","04/03","","182","+2","+1.11","1,041","189","180","180","183","179.5","1.94","31","6.02","    ","    ","    ","    ","    "
="5258","虹堡","市","04/03","","143.5","-2.5","-1.71","1,769","256","146","145","146.5","143.5","2.05","16.6","4.05","    ","    ","    ","    ","    "
="5288","豐祥-KY","市","04/03","","197","+3","+1.55","25","4.8","194","194.5","197","194.5","1.29","12.6","2.61","    ","    ","    ","    ","    "
="5292","華懋","市","04/03","","155.5","+1.5","+0.97","133","20.6","154","154","156","153.5","1.62","15.9","3.72","    ","    ","    ","    ","    "
="5388","中磊","市","04/03","","136","-1.5","-1.09","2,606","356","137.5","137","139","136","2.18","14.8","2.85","    ","    ","    ","    ","    "
="5519","隆大","市","04/03","","40.55","-1.75","-4.14","2,346","96.4","42.3","41.7","41.85","40.5","3.19","11","1.64","    ","    ","    ","    ","    "
="5534","長虹","市","04/03","","89.9","-0.3","-0.33","1,523","136","90.2","90.2","90.2","88.3","2.11","14.2","1.31","    ","    ","    ","    ","    "
="6117","迎廣","市","04/03","","89.4","+8.1","+9.96","12,564","1,088","81.3","80.7","89.4","79.9","11.7","87.6","6.53","    ","    ","    ","    ","    "
="6139","亞翔","市","04/03","","283.5","+4.5","+1.61","26,397","7,479","279","275","292","274","6.45","22.1","5.85","    ","    ","    ","    ","    "
="6177","達麗","市","04/03","","43.8","+1.2","+2.82","3,692","160","42.6","42.6","43.8","42.2","3.76","8.62","1.99","    ","    ","    ","    ","    "
="6197","佳必琪","市","04/03","","171","+15.5","+9.97","4,174","686","155.5","152.5","171","152.5","11.9","32.9","6.23","    ","    ","    ","    ","    "
