"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="0050","元大台灣50","市","04/03","","158.55","-1.1","-0.69","5,043","799","159.65","158.65","158.9","157.8","0.69","","","    ","    ","    ","    ","    "
="0056","元大高股息","市","04/03","","39.75","-0.13","-0.33","23,896","951","39.88","39.69","39.92","39.68","0.6","","","    ","    ","    ","    ","    "
="0061","元大寶滬深","市","04/03","","17.04","-0.09","-0.53","135","2.3","17.13","17.23","17.23","17.04","1.11","","","    ","    ","    ","    ","    "
="006205","富邦上証","市","04/03","","29.46","0","0","538","15.8","29.46","29.48","29.62","29.33","0.98","","","    ","    ","    ","    ","    "
"00631L","元大台灣50正2","市","04/03","","196.55","-2.65","-1.33","3,540","694","199.2","196.35","197.3","194.8","1.26","","","    ","    ","    ","    ","    "
"00632R","元大台灣50反1","市","04/03","","3.9","+0.02","+0.52","104,115","407","3.88","3.91","3.93","3.89","1.03","","","    ","    ","    ","    ","    "
"00633L","富邦上証正2","市","04/03","","33.84","-0.09","-0.27","5,961","201","33.93","34","34.02","33.48","1.59","","","    ","    ","    ","    ","    "
"00635U","期元大S&P黃金","市","04/03","","27.26","+0.35","+1.3","659","17.9","26.91","27.22","27.3","27.15","0.56","","","    ","    ","    ","    ","    "
"00637L","元大滬深300正2","市","04/03","","13.49","-0.06","-0.44","53,296","717","13.55","13.56","13.58","13.36","1.62","","","    ","    ","    ","    ","    "
"00638R","元大滬深300反1","市","04/03","","9.68","0","0","493","4.79","9.68","9.7","9.75","9.68","0.72","","","    ","    ","    ","    ","    "
"00640L","富邦日本正2","市","04/03","","56.5","-0.05","-0.09","1,014","57.1","56.55","56.45","56.7","55.9","1.41","","","    ","    ","    ","    ","    "
"00641R","富邦日本反1","市","04/03","","6.55","+0.02","+0.31","844","5.53","6.53","6.55","6.58","6.53","0.77","","","    ","    ","    ","    ","    "
"00642U","期元大S&P石油","市","04/03","","18.81","+0.22","+1.18","1,999","37.7","18.59","18.81","18.86","18.81","0.27","","","    ","    ","    ","    ","    "
"00647L","元大S&P500正2","市","04/03","","82.35","-1.05","-1.26","342","28.2","83.4","82.45","82.6","82.3","0.36","","","    ","    ","    ","    ","    "
"00648R","元大S&P500反1","市","04/03","","5.76","+0.03","+0.52","936","5.39","5.73","5.74","5.77","5.74","0.52","","","    ","    ","    ","    ","    "
"00650L","復華香港正2","市","04/03","","8.9","-0.12","-1.33","19,492","174","9.02","9.09","9.09","8.84","2.77","","","    ","    ","    ","    ","    "
"00651R","復華香港反1","市","04/03","","9.52","+0.08","+0.85","967","9.17","9.44","9.43","9.53","9.42","1.17","","","    ","    ","    ","    ","    "
"00655L","國泰中國A50正2","市","04/03","","23.25","-0.07","-0.3","5,123","119","23.32","23.38","23.38","23","1.63","","","    ","    ","    ","    ","    "
"00663L","國泰臺灣加權正2","市","04/03","","180.45","-2.65","-1.45","7","1.27","183.1","181.1","181.2","180.45","0.41","","","    ","    ","    ","    ","    "
"00664R","國泰臺灣加權反1","市","04/03","","4.43","+0.04","+0.91","4,388","19.4","4.39","4.43","4.44","4.41","0.68","","","    ","    ","    ","    ","    "
"00665L","富邦恒生國企正2","市","04/03","","5.79","-0.11","-1.86","74,073","432","5.9","5.9","5.93","5.77","2.71","","","    ","    ","    ","    ","    "
"00669R","國泰美國道瓊反1","市","04/03","","7.08","+0.05","+0.71","2,230","15.8","7.03","7.06","7.09","7.06","0.43","","","    ","    ","    ","    ","    "
"00670L","富邦NASDAQ正2","市","04/03","","110.75","-2.1","-1.86","1,514","168","112.85","110.95","110.95","110.65","0.27","","","    ","    ","    ","    ","    "
"00671R","富邦NASDAQ反1","市","04/03","","4.07","+0.04","+0.99","7,787","31.7","4.03","4.07","4.08","4.07","0.25","","","    ","    ","    ","    ","    "
"00673R","期元大S&P原油反1","市","04/03","","7.09","-0.07","-0.98","43,525","308","7.16","7.07","7.09","7.06","0.42","","","    ","    ","    ","    ","    "
"00674R","期元大S&P黃金反1","市","04/03","","10.88","-0.13","-1.18","1,194","13","11.01","10.86","10.9","10.85","0.45","","","    ","    ","    ","    ","    "
"00675L","富邦臺灣加權正2","市","04/03","","79","-1","-1.25","2,303","182","80","78.9","79.35","78.25","1.37","","","    ","    ","    ","    ","    "
"00680L","元大美債20正2","市","04/03","","8.66","-0.1","-1.14","56,388","489","8.76","8.68","8.69","8.64","0.57","","","    ","    ","    ","    ","    "
"00681R","元大美債20反1","市","04/03","","20.38","+0.13","+0.64","146","2.98","20.25","20.36","20.4","20.36","0.2","","","    ","    ","    ","    ","    "
"00682U","期元大美元指數","市","04/03","","21.12","-0.07","-0.33","4","0.08","21.19","21.17","21.17","21.12","0.24","","","    ","    ","    ","    ","    "
"00683L","期元大美元指正2","市","04/03","","22.79","-0.11","-0.48","200","4.55","22.9","22.84","22.84","22.76","0.35","","","    ","    ","    ","    ","    "
"00685L","群益臺灣加權正2","市","04/03","","70.15","-1.05","-1.47","239","16.8","71.2","70.25","70.5","69.65","1.19","","","    ","    ","    ","    ","    "
"00688L","國泰20年美債正2","市","04/03","","8.61","-0.1","-1.15","30,056","259","8.71","8.65","8.66","8.59","0.8","","","    ","    ","    ","    ","    "
"00689R","國泰20年美債反1","市","04/03","","21.14","+0.11","+0.52","103","2.18","21.03","21.15","21.15","21.12","0.14","","","    ","    ","    ","    ","    "
"00693U","期街口S&P黃豆","市","04/03","","23.81","-0.29","-1.2","276","6.57","24.1","23.79","23.83","23.73","0.41","","","    ","    ","    ","    ","    "
"00706L","期元大S&P日圓正2","市","04/03","","6.71","+0.01","+0.15","5,106","34.2","6.7","6.71","6.72","6.7","0.3","","","    ","    ","    ","    ","    "
"00708L","期元大S&P黃金正2","市","04/03","","32.96","+0.84","+2.62","1,121","36.9","32.12","32.89","33.07","32.8","0.84","","","    ","    ","    ","    ","    "
="00712","復華富時不動產","市","04/03","","9.64","-0.07","-0.72","15,921","153","9.71","9.65","9.65","9.6","0.51","","","    ","    ","    ","    ","    "
"00715L","期街口布蘭特正2","市","04/03","","17.95","+0.44","+2.51","17,154","308","17.51","17.93","18.05","17.93","0.69","","","    ","    ","    ","    ","    "
"00738U","期元大道瓊白銀","市","04/03","","24.44","+0.88","+3.74","2,157","52.7","23.56","24.31","24.64","24.27","1.57","","","    ","    ","    ","    ","    "
"00753L","中信中國50正2","市","04/03","","6.92","-0.11","-1.56","14,957","104","7.03","7.06","7.06","6.91","2.13","","","    ","    ","    ","    ","    "
="00757","統一FANG+","市","04/03","","76.4","-1.05","-1.36","8,169","625","77.45","77.1","77.1","76.3","1.03","","","    ","    ","    ","    ","    "
"00763U","期街口道瓊銅","市","04/03","","25.23","+0.29","+1.16","584","14.7","24.94","25.04","25.25","25.04","0.84","","","    ","    ","    ","    ","    "
