"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="0050","元大台灣50","市","04/03","","158.55","-1.1","-0.69","5,043","799","159.65","158.65","158.9","157.8","0.69","","","    ","    ","    ","    ","    "
="0056","元大高股息","市","04/03","","39.75","-0.13","-0.33","23,896","951","39.88","39.69","39.92","39.68","0.6","","","    ","    ","    ","    ","    "
="006205","富邦上証","市","04/03","","29.46","0","0","538","15.8","29.46","29.48","29.62","29.33","0.98","","","    ","    ","    ","    ","    "
="006206","元大上證50","市","04/03","","28.2","-0.04","-0.14","252","7.08","28.24","28.24","28.24","28.07","0.6","","","    ","    ","    ","    ","    "
="00636","國泰中國A50","市","04/03","","20.35","-0.03","-0.15","1,025","20.9","20.38","20.4","20.42","20.26","0.79","","","    ","    ","    ","    ","    "
="00639","富邦深100","市","04/03","","10.65","-0.06","-0.56","317","3.38","10.71","10.78","10.78","10.64","1.31","","","    ","    ","    ","    ","    "
="00643","群益深証中小","市","04/03","","11.61","-0.05","-0.43","357","4.15","11.66","11.67","11.67","11.57","0.86","","","    ","    ","    ","    ","    "
="00878","國泰永續高股息","市","04/03","","22.63","-0.04","-0.18","27,496","622","22.67","22.64","22.74","22.52","0.97","","","    ","    ","    ","    ","    "
="00885","富邦越南","市","04/03","","12.68","-0.02","-0.16","5,589","71.3","12.7","12.77","12.82","12.68","1.1","","","    ","    ","    ","    ","    "
="00893","國泰智能電動車","市","04/03","","20.37","-0.33","-1.59","5,000","102","20.7","20.53","20.53","20.35","0.87","","","    ","    ","    ","    ","    "
="00923","群益台ESG低碳50","市","04/03","","19.92","-0.07","-0.35","4,274","85","19.99","19.93","19.95","19.82","0.65","","","    ","    ","    ","    ","    "
="1101","台泥","市","04/03","","32","+0.05","+0.16","37,583","1,220","31.95","32.8","33.6","32","5.01","30.2","1.07","    ","    ","    ","    ","    "
="1102","亞泥","市","04/03","","41.15","+0.05","+0.12","4,834","200","41.1","41.6","42.4","41.1","3.16","12.5","0.86","    ","    ","    ","    ","    "
="1210","大成","市","04/03","","57.6","-0.2","-0.35","1,438","82.8","57.8","57.6","57.8","57.3","0.87","12","2.06","    ","    ","    ","    ","    "
="1216","統一","市","04/03","","75.3","-0.2","-0.26","6,890","520","75.5","75.3","75.7","75.2","0.66","23.3","3.43","    ","    ","    ","    ","    "
="1301","台塑","市","04/03","","70","-0.8","-1.13","6,577","462","70.8","70.3","70.7","69.8","1.27","60.9","1.28","    ","    ","    ","    ","    "
="1303","南亞","市","04/03","","56.8","-0.6","-1.05","6,643","379","57.4","57","57.4","56.8","1.05","71","1.25","    ","    ","    ","    ","    "
="1312","國喬","市","04/03","","13.2","-0.15","-1.12","978","12.9","13.35","13.3","13.35","13.15","1.5","","0.45","    ","    ","    ","    ","    "
="1314","中石化","市","04/03","","9.48","-0.12","-1.25","11,483","109","9.6","9.6","9.63","9.47","1.67","","0.46","    ","    ","    ","    ","    "
="1319","東陽","市","04/03","","120.5","-3","-2.43","3,095","376","123.5","123","123.5","120","2.83","23.6","2.8","    ","    ","    ","    ","    "
="1326","台化","市","04/03","","55.1","-0.8","-1.43","5,104","282","55.9","55.8","55.8","55","1.43","37.7","0.95","    ","    ","    ","    ","    "
="1402","遠東新","市","04/03","","32.6","-0.55","-1.66","4,502","147","33.15","33.05","33.05","32.55","1.51","19.9","0.77","    ","    ","    ","    ","    "
="1440","南紡","市","04/03","","15.5","-0.1","-0.64","877","13.6","15.6","15.6","15.7","15.4","1.92","12.2","0.87","    ","    ","    ","    ","    "
="1476","儒鴻","市","04/03","","546","-3","-0.55","472","258","549","551","551","544","1.28","28.9","5.84","    ","    ","    ","    ","    "
="1477","聚陽","市","04/03","","374.5","-4","-1.06","1,285","483","378.5","378.5","380","374.5","1.45","22.7","5.73","    ","    ","    ","    ","    "
="1504","東元","市","04/03","","55.7","+0.3","+0.54","11,398","636","55.4","55.4","56.2","55.3","1.62","20.2","1.47","    ","    ","    ","    ","    "
="1513","中興電","市","04/03","","178.5","0","0","8,835","1,574","178.5","177.5","179.5","176","1.96","54.9","5.6","    ","    ","    ","    ","    "
="1536","和大","市","04/03","","52.4","+0.4","+0.77","563","29.3","52","51.8","52.4","51.6","1.54","44.8","1.68","    ","    ","    ","    ","    "
="1590","亞德客-KY","市","04/03","","1130","+5","+0.44","471","526","1125","1120","1135","1095","3.56","32.4","5.31","    ","    ","    ","    ","    "
="1605","華新","市","04/03","","36.3","-0.4","-1.09","20,420","755","36.7","37.15","37.9","36.3","4.36","27.5","1.04","    ","    ","    ","    ","    "
="1609","大亞","市","04/03","","41.15","-0.6","-1.44","31,887","1,334","41.75","42.25","43.1","41.05","4.91","10.5","2.1","    ","    ","    ","    ","    "
="1707","葡萄王","市","04/03","","160.5","0","0","455","72.8","160.5","160.5","161","158.5","1.56","16.4","2.38","    ","    ","    ","    ","    "
="1717","長興","市","04/03","","32.1","-0.6","-1.83","2,711","87.1","32.7","32.35","32.35","32","1.07","25.1","1.53","    ","    ","    ","    ","    "
="1718","中纖","市","04/03","","7.29","+0.02","+0.28","1,443","10.5","7.27","7.27","7.34","7.24","1.38","","0.47","    ","    ","    ","    ","    "
="1722","台肥","市","04/03","","63.5","-0.4","-0.63","1,579","100","63.9","63.8","63.9","63.1","1.25","15.9","1.14","    ","    ","    ","    ","    "
="1795","美時","市","04/03","","317.5","+7","+2.25","11,647","3,674","310.5","314","323.5","307","5.31","20.2","4.84","    ","    ","    ","    ","    "
="1802","台玻","市","04/03","","17.2","+0.05","+0.29","9,850","172","17.15","17.5","17.9","17.15","4.37","1720","1.05","    ","    ","    ","    ","    "
="1904","正隆","市","04/03","","28.85","+0.05","+0.17","888","25.6","28.8","28.9","29","28.8","0.69","34.8","1.11","    ","    ","    ","    ","    "
="1905","華紙","市","04/03","","22.8","-0.2","-0.87","1,625","37","23","23","23.05","22.65","1.74","","1.63","    ","    ","    ","    ","    "
="1907","永豐餘","市","04/03","","29.8","+0.05","+0.17","759","22.6","29.75","29.75","30","29.7","1.01","27.1","0.85","    ","    ","    ","    ","    "
="1909","榮成","市","04/03","","14.9","+0.1","+0.68","1,337","19.8","14.8","14.7","14.9","14.65","1.69","","0.89","    ","    ","    ","    ","    "
="2002","中鋼","市","04/03","","24.65","+0.35","+1.44","54,395","1,338","24.3","24.6","25","24.35","2.67","224","1.22","    ","    ","    ","    ","    "
="2006","東和鋼鐵","市","04/03","","71","+0.8","+1.14","6,721","488","70.2","73","75.9","70.7","7.41","11","1.67","    ","    ","    ","    ","    "
="2014","中鴻","市","04/03","","22.8","+0.65","+2.93","29,803","684","22.15","23.15","23.7","22.45","5.64","207","2.01","    ","    ","    ","    ","    "
