"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="0050","元大台灣50","市","04/03","","158.55","-1.1","-0.69","5,043","799","159.65","158.65","158.9","157.8","0.69","","","    ","    ","    ","    ","    "
="006205","富邦上証","市","04/03","","29.46","0","0","538","15.8","29.46","29.48","29.62","29.33","0.98","","","    ","    ","    ","    ","    "
="006206","元大上證50","市","04/03","","28.2","-0.04","-0.14","252","7.08","28.24","28.24","28.24","28.07","0.6","","","    ","    ","    ","    ","    "
="00636","國泰中國A50","市","04/03","","20.35","-0.03","-0.15","1,025","20.9","20.38","20.4","20.42","20.26","0.79","","","    ","    ","    ","    ","    "
="00639","富邦深100","市","04/03","","10.65","-0.06","-0.56","317","3.38","10.71","10.78","10.78","10.64","1.31","","","    ","    ","    ","    ","    "
="00643","群益深証中小","市","04/03","","11.61","-0.05","-0.43","357","4.15","11.66","11.67","11.67","11.57","0.86","","","    ","    ","    ","    ","    "
="1101","台泥","市","04/03","","32","+0.05","+0.16","37,583","1,220","31.95","32.8","33.6","32","5.01","30.2","1.07","    ","    ","    ","    ","    "
="1216","統一","市","04/03","","75.3","-0.2","-0.26","6,890","520","75.5","75.3","75.7","75.2","0.66","23.3","3.43","    ","    ","    ","    ","    "
="1301","台塑","市","04/03","","70","-0.8","-1.13","6,577","462","70.8","70.3","70.7","69.8","1.27","60.9","1.28","    ","    ","    ","    ","    "
="1303","南亞","市","04/03","","56.8","-0.6","-1.05","6,643","379","57.4","57","57.4","56.8","1.05","71","1.25","    ","    ","    ","    ","    "
="1326","台化","市","04/03","","55.1","-0.8","-1.43","5,104","282","55.9","55.8","55.8","55","1.43","37.7","0.95","    ","    ","    ","    ","    "
="1402","遠東新","市","04/03","","32.6","-0.55","-1.66","4,502","147","33.15","33.05","33.05","32.55","1.51","19.9","0.77","    ","    ","    ","    ","    "
="1605","華新","市","04/03","","36.3","-0.4","-1.09","20,420","755","36.7","37.15","37.9","36.3","4.36","27.5","1.04","    ","    ","    ","    ","    "
="2002","中鋼","市","04/03","","24.65","+0.35","+1.44","54,395","1,338","24.3","24.6","25","24.35","2.67","224","1.22","    ","    ","    ","    ","    "
="2303","聯電","市","04/03","","51.6","-0.5","-0.96","41,513","2,148","52.1","52.2","52.2","51.6","1.15","10.5","1.8","    ","    ","    ","    ","    "
="2317","鴻海","市","04/03","","159","0","0","142,523","22,371","159","156","159","155","2.52","15.5","1.48","    ","    ","    ","    ","    "
="2324","仁寶","市","04/03","","36.55","-0.3","-0.81","18,720","688","36.85","36.75","37.15","36.5","1.76","20.8","1.33","    ","    ","    ","    ","    "
="2330","台積電","市","04/03","","780","-10","-1.27","32,910","25,719","790","783","785","778","0.89","24.1","5.85","    ","    ","    ","    ","    "
="2353","宏碁","市","04/03","","46.1","-0.6","-1.28","19,545","903","46.7","46.3","46.6","45.9","1.5","28.1","1.85","    ","    ","    ","    ","    "
="2357","華碩","市","04/03","","422.5","-0.5","-0.12","2,544","1,075","423","420.5","425.5","419.5","1.42","19.7","1.31","    ","    ","    ","    ","    "
