"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1110","東泥","市","02/23","","18.1","-0.3","-1.63","243","4.44","18.4","18.3","18.3","18.1","1.09","38.5","1.16","    ","    ","    ","    ","    "
="1217","愛之味","市","02/23","","11.9","-0.15","-1.24","1,407","16.8","12.05","12.05","12.05","11.85","1.66","36.1","0.87","    ","    ","    ","    ","    "
="1233","天仁","市","02/23","","34.7","-0.25","-0.72","18","0.63","34.95","34.95","34.95","34.6","1","30.2","2.16","    ","    ","    ","    ","    "
="1234","黑松","市","02/23","","40.05","-0.05","-0.12","111","4.45","40.1","40.1","40.15","40.05","0.25","16.7","0.87","    ","    ","    ","    ","    "
="1314","中石化","市","02/23","","9.5","-0.01","-0.11","7,430","70.6","9.51","9.52","9.55","9.47","0.84","","0.46","    ","    ","    ","    ","    "
="1324","地球","市","02/23","","16.9","-0.2","-1.17","202","3.45","17.1","17.15","17.15","16.9","1.46","29.1","1.31","    ","    ","    ","    ","    "
="1414","東和","市","02/23","","20","0","0","1,247","25.1","20","20.1","20.5","19.8","3.5","286","1.42","    ","    ","    ","    ","    "
="1463","強盛","市","02/23","","18.6","-0.3","-1.59","147","2.75","18.9","18.85","18.85","18.6","1.32","23.5","1.35","    ","    ","    ","    ","    "
="1468","昶和","市","02/23","","14.45","-0.1","-0.69","56","0.8","14.55","14.45","14.55","14.2","2.41","","1.84","    ","    ","    ","    ","    "
="1789","神隆","市","02/23","","25.15","-0.3","-1.18","995","25.1","25.45","25.45","25.45","25.1","1.38","86.7","1.94","    ","    ","    ","    ","    "
="2305","全友","市","02/23","","24.1","+0.55","+2.34","1,304","31.3","23.55","23.7","24.3","23.7","2.55","","2.2","    ","    ","    ","    ","    "
="2312","金寶","市","02/23","","15.65","-0.2","-1.26","7,219","115","15.85","15.9","16.05","15.65","2.52","31.9","1.13","    ","    ","    ","    ","    "
="2354","鴻準","市","02/23","","50.1","-0.6","-1.18","1,400","70.4","50.7","50.6","50.8","50","1.58","17.6","0.68","    ","    ","    ","    ","    "
="2355","敬鵬","市","02/23","","50.5","-1.2","-2.32","10,760","549","51.7","52.2","52.2","50.2","3.87","27.4","1.25","    ","    ","    ","    ","    "
="2362","藍天","市","02/23","","41.55","-0.65","-1.54","2,320","97.2","42.2","42.5","42.65","41.55","2.61","24.4","0.57","    ","    ","    ","    ","    "
="2365","昆盈","市","02/23","","23","-0.75","-3.16","5,813","136","23.75","24.15","24.15","23","4.84","74.2","1.69","    ","    ","    ","    ","    "
="2630","亞航","市","02/23","","32.85","-0.5","-1.5","1,507","49.9","33.35","33.45","33.55","32.85","2.1","182","2.02","    ","    ","    ","    ","    "
="2701","萬企","市","02/23","","12.55","-0.1","-0.79","165","2.08","12.65","12.65","12.7","12.55","1.19","27.3","0.68","    ","    ","    ","    ","    "
="2706","第一店","市","02/23","","14.85","-0.05","-0.34","384","5.7","14.9","14.9","14.9","14.8","0.67","28.6","0.75","    ","    ","    ","    ","    "
="2901","欣欣","市","02/23","","26.7","0","0","13","0.36","26.7","26.5","26.7","26.5","0.75","78.5","2.23","    ","    ","    ","    ","    "
="2923","鼎固-KY","市","02/23","","25","-0.05","-0.2","10","0.25","25.05","24.8","25.5","24.8","2.79","1250","0.89","    ","    ","    ","    ","    "
="3002","歐格","市","02/23","","17.35","+0.2","+1.17","1,122","19.5","17.15","17.65","17.75","17.1","3.79","108","1.35","    ","    ","    ","    ","    "
="3027","盛達","市","02/23","","45.3","+0.2","+0.44","2,321","106","45.1","45.4","46.1","44.6","3.33","43.1","2.34","    ","    ","    ","    ","    "
="3266","昇陽","市","02/23","","19.35","-0.15","-0.77","249","4.83","19.5","19.6","19.7","19.25","2.31","17","1.21","    ","    ","    ","    ","    "
="3346","麗清","市","02/23","","49.75","-0.65","-1.29","1,461","73","50.4","50.5","50.5","49.75","1.49","18.4","1.7","    ","    ","    ","    ","    "
="3591","艾笛森","市","02/23","","27.2","+0.25","+0.93","3,017","83.6","26.95","27.2","28.25","27.2","3.9","247","1.34","    ","    ","    ","    ","    "
="3673","TPK-KY","市","02/23","","35.65","-1.05","-2.86","2,360","85.1","36.7","36.7","36.75","35.65","3","63.7","0.38","    ","    ","    ","    ","    "
="4737","華廣","市","02/23","","73","-0.3","-0.41","94","6.85","73.3","73","74.4","72.7","2.32","187","2.27","    ","    ","    ","    ","    "
="4764","雙鍵","市","02/23","","39.25","+0.1","+0.26","12","0.47","39.15","39.15","39.35","39.1","0.64","","1.51","    ","    ","    ","    ","    "
="6405","悅城","市","02/23","","26.8","-0.6","-2.19","2,436","66.8","27.4","28.25","28.95","26.3","9.67","","0.7","    ","    ","    ","    ","    "
="6698","旭暉應材","市","02/23","","34.3","-0.75","-2.14","620","21.6","35.05","35.75","35.8","34.25","4.42","","1.81","    ","    ","    ","    ","    "
="8033","雷虎","市","02/23","","51.6","-0.8","-1.53","1,194","61.9","52.4","52.4","52.7","51.6","2.1","","6.03","    ","    ","    ","    ","    "
="8110","華東","市","02/23","","17","-0.6","-3.41","9,725","168","17.6","17.6","17.6","16.9","3.98","","0.85","    ","    ","    ","    ","    "
="9946","三發地產","市","02/23","","21.9","0","0","372","8.14","21.9","21.9","22","21.75","1.14","137","1.12","    ","    ","    ","    ","    "
