"代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="1213","大飲","市","04/03","","7.11","-0.15","-2.07","112","0.8","7.26","7.18","7.18","7.04","1.93","","1.77","    ","    ","    ","    ","    "
="1512","瑞利","市","04/03","","10.6","+0.05","+0.47","40","0.41","10.55","10.3","10.6","10.15","4.27","265","2.82","    ","    ","    ","    ","    "
="1538","正峰","市","04/03","","19","-0.2","-1.04","65","1.24","19.2","19","19.2","19","1.04","","4.7","    ","    ","    ","    ","    "
="1799","易威","櫃","04/03","","69","-0.7","-1","49","3.42","69.7","69.7","69.7","68.8","1.29","","13","    ","    ","    ","    ","    "
="1806","冠軍","市","04/03","","9.41","+0.02","+0.21","1,321","12.4","9.39","9.37","9.48","9.22","2.77","","0.68","    ","    ","    ","    ","    "
="2321","東訊","市","04/03","","16.55","+0.6","+3.76","12","0.2","15.95","15.9","16.75","15.9","5.33","","2.43","    ","    ","    ","    ","    "
="2358","廷鑫","市","04/03","","4.56","-0.5","-9.88","1,256","5.73","5.06","4.56","4.56","4.56","0","","0.42","    ","    ","    ","    ","    "
="2380","虹光","市","04/03","","6.69","-0.18","-2.62","121","0.82","6.87","6.87","6.87","6.68","2.77","","1.82","    ","    ","    ","    ","    "
="2443","昶虹","市","04/03","","3.57","-0.39","-9.85","1,352","4.83","3.96","3.57","3.57","3.57","0","3.16","1.07","    ","    ","    ","    ","    "
="2724","藝舍-KY","櫃","04/03","","19.2","0","0","65","1.25","19.2","19.2","19.25","19.2","0.26","","5.08","    ","    ","    ","    ","    "
="3018","隆銘綠能","市","04/03","","13.55","-1.2","-8.14","64","0.89","14.75","14.7","14.7","13.45","8.47","","4.43","    ","    ","    ","    ","    "
="3064","泰偉","櫃","04/03","","38.5","-0.5","-1.28","8","0.29","39","38.8","38.8","38.5","0.77","","4.94","    ","    ","    ","    ","    "
="3085","新零售","櫃","04/03","","10.65","+0.55","+5.45","7","0.07","10.1","10.1","10.9","10.1","7.92","","2.57","    ","    ","    ","    ","    "
="3095","及成","櫃","04/03","","32.3","-0.85","-2.56","59","1.91","33.15","33.6","33.8","31.8","6.03","","5.61","    ","    ","    ","    ","    "
="3115","富榮綱","櫃","04/03","","10.75","0","0","0","0","10.75","10.75","10.75","10.75","0","","2.32","    ","    ","    ","    ","    "
="3191","雲科","櫃","04/03","","20.75","0","0","43","0.89","20.75","20.75","20.75","20.75","0","","7.36","    ","    ","    ","    ","    "
="3494","誠研","市","04/03","","5.35","-0.04","-0.74","85","0.45","5.39","5.49","5.49","5.3","3.53","","1.71","    ","    ","    ","    ","    "
="3629","地心引力","櫃","04/03","","32.4","+2.9","+9.83","33","1.04","29.5","30.7","32.45","30.35","7.12","","10.2","    ","    ","    ","    ","    "
="3632","研勤","櫃","04/03","","13.5","-0.05","-0.37","4","0.05","13.55","13.5","13.5","13.5","0","123","3.73","    ","    ","    ","    ","    "
="4192","杏國","櫃","04/03","","41.8","+3.8","+10","120","4.9","38","38.55","41.8","38.45","8.82","","4.11","    ","    ","    ","    ","    "
="4414","如興","市","04/03","","3.65","0","0","950","3.43","3.65","3.62","3.68","3.6","2.19","","0.84","    ","    ","    ","    ","    "
="4419","元勝","櫃","04/03","","43","-0.2","-0.46","4","0.19","43.2","43.35","43.35","43","0.81","","7.33","    ","    ","    ","    ","    "
="4530","宏易","櫃","04/03","","7.79","+0.02","+0.26","18","0.14","7.77","7.33","7.79","7.33","5.92","","2.25","    ","    ","    ","    ","    "
="4609","唐鋒","櫃","04/03","","6.61","-0.23","-3.36","22","0.15","6.84","6.72","6.96","6.43","7.75","","1.88","    ","    ","    ","    ","    "
="4804","大略-KY","櫃","04/03","","4.62","-0.18","-3.75","283","1.28","4.8","4.46","4.8","4.32","10","","2.25","    ","    ","    ","    ","    "
="4806","昇華","櫃","04/03","","11.6","+0.4","+3.57","4","0.05","11.2","11.6","11.6","11.6","0","","3.11","    ","    ","    ","    ","    "
="4943","康控-KY","市","04/03","","23.6","-0.75","-3.08","45","1.07","24.35","24.3","24.3","23.6","2.87","","14.6","    ","    ","    ","    ","    "
="5301","寶得利","櫃","04/03","","8.25","-0.37","-4.29","79","0.65","8.62","8.52","8.52","8.16","4.18","","1.7","    ","    ","    ","    ","    "
="5345","天揚","櫃","04/03","","11.4","-0.6","-5","1","0.01","12","11.4","11.4","11.4","0","","2.6","    ","    ","    ","    ","    "
="5701","劍湖山","櫃","04/03","","5.59","-0.03","-0.53","30","0.17","5.62","5.61","5.81","5.53","4.98","","1.18","    ","    ","    ","    ","    "
="6103","合邦","櫃","04/03","","36","+2.85","+8.6","13","0.48","33.15","36.45","36.45","36","1.36","","4.12","    ","    ","    ","    ","    "
="6225","天瀚","市","04/03","","15.65","-0.35","-2.19","17","0.27","16","14.9","15.95","14.9","6.56","50.5","4.56","    ","    ","    ","    ","    "
="6236","中湛","櫃","04/03","","32.5","0","0","3","0.1","32.5","30.65","32.5","30.65","5.69","","7.76","    ","    ","    ","    ","    "
="6264","富裔","櫃","04/03","","8.09","+0.19","+2.41","128","1.03","7.9","8.6","8.6","7.88","9.11","","1.61","    ","    ","    ","    ","    "
="6287","元隆","櫃","04/03","","14.2","-0.15","-1.05","4","0.06","14.35","14.2","14.2","14.15","0.35","","6.51","    ","    ","    ","    ","    "
="8101","華冠","市","04/03","","3.88","-0.03","-0.77","52","0.2","3.91","3.91","3.92","3.88","1.02","","3.1","    ","    ","    ","    ","    "
="8291","尚茂","櫃","04/03","","6.62","-0.46","-6.5","6","0.04","7.08","6.54","6.62","6.54","1.13","","8.28","    ","    ","    ","    ","    "
="8420","明揚","櫃","04/03","","58.8","+0.6","+1.03","28","1.64","58.2","58.5","60.2","58.5","2.92","","4.82","    ","    ","    ","    ","    "
="9110","越南控-DR","市","04/03","","7.79","-0.06","-0.76","33","0.25","7.85","7.71","7.79","7.7","1.15","","","    ","    ","    ","    ","    "
