"代號","名稱","市場","股價月別","更新日期","K線","成交","漲跌價","漲跌幅","日均成交張數","日均成交額(百萬)","前收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
="0051","元大中型100","市","24M02","02/23","","76.45","+3.25","+4.44","109","8.19","73.2","73.25","77.3","73.05","5.81","","","    ","    ","    ","    ","    "
="0052","富邦科技","市","24M02","02/23","","144.75","+11.55","+8.67","552","77.5","133.2","133.2","145","132.15","9.65","","","    ","    ","    ","    ","    "
="0053","元大電子","市","24M02","02/23","","78.65","+5.55","+7.59","12","0.94","73.1","72.4","78.65","72.15","8.89","","","    ","    ","    ","    ","    "
="0055","元大MSCI金融","市","24M02","02/23","","23.8","+0.3","+1.28","539","12.7","23.5","23.52","23.92","23.36","2.38","","","    ","    ","    ","    ","    "
="0057","富邦摩台","市","24M02","02/23","","107.75","+6.45","+6.37","12","1.24","101.3","100.4","107.8","100.3","7.4","","","    ","    ","    ","    ","    "
="0061","元大寶滬深","市","24M02","02/23","","16.64","+1.16","+7.49","790","12.6","15.48","15.47","16.73","15.01","11.1","","","    ","    ","    ","    ","    "
="006203","元大MSCI台灣","市","24M02","02/23","","69.3","+4.3","+6.62","12","0.83","65","64.75","69.3","64.75","7","","","    ","    ","    ","    ","    "
="006204","永豐臺灣加權","市","24M02","02/23","","94.3","+4.9","+5.48","81","7.51","89.4","89.35","94.3","89.1","5.82","","","    ","    ","    ","    ","    "
="006205","富邦上証","市","24M02","02/23","","28.8","+2.31","+8.72","3,250","89.5","26.49","26.65","28.93","25.83","11.7","","","    ","    ","    ","    ","    "
="006206","元大上證50","市","24M02","02/23","","28.08","+2.23","+8.63","503","13.5","25.85","25.9","28.25","25.27","11.5","","","    ","    ","    ","    ","    "
="006207","復華滬深","市","24M02","02/23","","21.81","+1.73","+8.62","209","4.35","20.08","20.08","21.96","19.43","12.6","","","    ","    ","    ","    ","    "
"00625K","富邦上証+R","市","24M02","02/23","","6.59","+0.34","+5.44","0","0","6.25","6.18","6.59","6.07","8.32","","","    ","    ","    ","    ","    "
